title,domain,description,source_type,published_date,first_seen,mentions,label
Предиктивное обслуживание промышленного оборудования,Индустриальный ИИ,"Массово внедренная технология, отраслевой стандарт на крупных заводах, зрелый рынок с устоявшимися лидерами (Siemens, GE, Uptake)",news,2026-03-01,2008,120000,0
Компьютерное зрение для контроля качества на конвейере,Индустриальный ИИ,"Широко используемое решение, сформировавшийся рынок, доминирующие вендоры, промышленное внедрение повсеместно",media,2026-03-01,2012,95000,0
RPA-автоматизация бэк-офиса,Индустриальный ИИ,"Зрелая технология, отраслевой стандарт (UiPath, Blue Prism), массовое внедрение в банках и корпорациях",media,2026-03-01,2015,150000,0
Промышленные SCADA и MES-системы,Индустриальный ИИ,"Устоявшаяся индустрия с многолетней историей, зрелый рынок, стандарт автоматизации производств",news,2026-03-01,1990,180000,0
Чат-боты технической поддержки на базе ИИ,Индустриальный ИИ,"Массово внедренное решение, мейнстрим, повсеместное использование, зрелый рынок",news,2026-03-01,2016,200000,0
Оптимизация логистики на алгоритмах ML,Индустриальный ИИ,"Стандарт отрасли, широко используемая технология маршрутизации, коммерциализировано",media,2026-03-01,2005,110000,0
ERP-системы с ИИ-модулями,Индустриальный ИИ,"Зрелый рынок с выраженными лидерами (SAP, Oracle), массовое промышленное внедрение",news,2026-03-01,1995,160000,0
Автоматизированный контроль качества на производстве,Индустриальный ИИ,"Устоявшийся подход, индустриальный стандарт, массовое внедрение на заводах",media,2026-03-01,2003,98000,0
Облачные GPU-инстансы для обучения моделей,Инфраструктура ИИ,"Массово используемая инфраструктура, зрелый рынок с лидерами (NVIDIA, AWS, Azure), отраслевой стандарт",news,2026-03-01,2016,250000,0
Kubernetes для оркестрации ML-нагрузок,Инфраструктура ИИ,"Широко внедренный стандарт, сформировавшийся рынок, доминирующая технология",media,2026-03-01,2014,220000,0
Центры обработки данных и CDN,Инфраструктура ИИ,"Зрелая индустрия с многолетними лидерами, массовое коммерческое внедрение, устоявшийся стандарт",news,2026-03-01,1998,260000,0
"Реляционные СУБД (PostgreSQL, Oracle)",Инфраструктура ИИ,"Классическая зрелая технология, индустриальный стандарт хранения данных, массовое использование",news,2026-03-01,1986,300000,0
"Облачные хранилища данных (Snowflake, Redshift)",Инфраструктура ИИ,"Сформировавшийся рынок, широко внедрено, устоявшиеся лидеры",media,2026-03-01,2013,180000,0
Контейнеризация и виртуализация (Docker),Инфраструктура ИИ,"Массово используемый стандарт, зрелый рынок, повсеместное внедрение",news,2026-03-01,2013,270000,0
"Мониторинг и observability (Prometheus, Grafana)",Инфраструктура ИИ,"Широко внедренный отраслевой стандарт, зрелая экосистема, массовое использование",media,2026-03-01,2012,140000,0
Сетевые решения Ethernet 100G/400G,Инфраструктура ИИ,"Зрелая инфраструктурная технология, индустриальный стандарт, массовое производство",news,2026-03-01,2010,130000,0
"Промышленные манипуляторы (KUKA, Fanuc, ABB)",Роботы,"Зрелый рынок с многолетними лидерами, массовое промышленное внедрение, отраслевой стандарт",news,2026-03-01,1970,190000,0
Роботы-пылесосы,Роботы,"Массовый потребительский рынок, сформировавшиеся лидеры, повсеместное внедрение",media,2026-03-01,2002,210000,0
Складские AGV и AMR (Amazon Robotics),Роботы,"Широко внедренная технология, зрелый рынок, массовое коммерческое использование",news,2026-03-01,2012,160000,0
Коллаборативные роботы (cobots),Роботы,"Сформировавшийся рынок, устоявшиеся вендоры, массовое промышленное внедрение",media,2026-03-01,2008,120000,0
Дроны для коммерческой доставки,Роботы,"Коммерциализированная технология, зрелый рынок, устоявшиеся игроки",media,2026-03-01,2013,105000,0
Сварочные промышленные роботы,Роботы,"Индустриальный стандарт, массовое внедрение на производствах, зрелый рынок",news,2026-03-01,1985,130000,0
Роботизированные линии сборки автомобилей,Роботы,"Зрелая индустрия, массовое промышленное внедрение, устоявшийся стандарт",media,2026-03-01,1980,170000,0
Роботы-газонокосилки,Роботы,"Массовый потребительский рынок, сформировавшиеся лидеры, повсеместное внедрение",media,2026-03-01,1995,90000,0
Мобильный банкинг,Финтех,"Массово внедренная технология, отраслевой стандарт, зрелый рынок, повсеместное использование",news,2026-03-01,2010,280000,0
"Бесконтактные платежи (NFC, Apple Pay)",Финтех,"Сформировавшийся рынок, массовое внедрение, индустриальный стандарт",media,2026-03-01,2014,250000,0
Система быстрых платежей и P2P-переводы,Финтех,"Широко внедренная технология, отраслевой стандарт, массовое использование",news,2026-03-01,2019,200000,0
Кредитный скоринг на основе правил и ML,Финтех,"Зрелая технология, устоявшийся подход, массовое внедрение в банках",news,2026-03-01,1995,150000,0
Электронные кошельки,Финтех,"Массовый рынок, сформировавшиеся лидеры, повсеместное внедрение",media,2026-03-01,2012,220000,0
Онлайн-эквайринг и интернет-платежи,Финтех,"Стандарт отрасли, зрелый рынок, массовое коммерческое внедрение",news,2026-03-01,2005,170000,0
Антифрод-системы крупных вендоров,Финтех,"Отраслевой стандарт, зрелый рынок, широко внедрено в банках",media,2026-03-01,2008,130000,0
"Платёжные карты (Visa, Mastercard)",Финтех,"Классическая зрелая технология, индустриальный стандарт, массовое использование",news,2026-03-01,1958,300000,0
Смартфоны с edge-вычислениями,Edge,"Массово внедренная технология, зрелый рынок с лидерами, отраслевой стандарт",media,2026-03-01,2007,320000,0
Умные камеры видеонаблюдения,Edge,"Широко внедренное решение, сформировавшийся рынок, массовое коммерческое использование",news,2026-03-01,2005,180000,0
Промышленные IoT-шлюзы,Edge,"Зрелый рынок, индустриальный стандарт, массовое внедрение",news,2026-03-01,2010,100000,0
Роутеры и точки доступа Wi-Fi,Edge,"Устоявшийся стандарт, массовый потребительский рынок, повсеместное внедрение",media,2026-03-01,1997,240000,0
Умные колонки с голосовыми ассистентами,Edge,"Массовый рынок, сформировавшиеся лидеры, зрелая технология",news,2026-03-01,2014,210000,0
Edge-инференс на NPU в смартфонах,Edge,"Сформировавшийся рынок, массовое внедрение, отраслевой стандарт",media,2026-03-01,2017,160000,0
ПЛК и промышленные контроллеры,Edge,"Классическая зрелая технология, индустриальный стандарт автоматизации, массовое производство",news,2026-03-01,1968,140000,0
IoT-трекеры и маячки,Edge,"Зрелый рынок, массовое коммерческое внедрение, устоявшиеся вендоры",media,2026-03-01,2012,90000,0
Антивирусные системы и EDR,Защита ИИ,"Зрелый рынок с устоявшимися лидерами, массовое внедрение, отраслевой стандарт",news,2026-03-01,1990,230000,0
Межсетевые экраны (firewall),Защита ИИ,"Классическая зрелая технология, индустриальный стандарт, массовое использование",news,2026-03-01,1988,200000,0
SIEM-системы,Защита ИИ,"Устоявшийся рынок, отраслевой стандарт, широко внедрено в корпорациях",media,2026-03-01,2005,120000,0
VPN и шифрование трафика,Защита ИИ,"Массово используемая технология, зрелый рынок, повсеместное внедрение",media,2026-03-01,1996,190000,0
Многофакторная аутентификация (MFA),Защита ИИ,"Сформировавшийся стандарт, массовое внедрение, отраслевой стандарт",news,2026-03-01,2011,170000,0
Инфраструктура открытых ключей (PKI),Защита ИИ,"Классическая зрелая технология, индустриальный стандарт, массовое использование",news,2026-03-01,1991,150000,0
Анти-DDoS-защита,Защита ИИ,"Зрелый рынок с устоявшимися лидерами, отраслевой стандарт, массовое внедрение",media,2026-03-01,2000,110000,0
Управление уязвимостями (Vulnerability Management),Защита ИИ,"Широко внедренная технология, сформировавшийся рынок, устоявшиеся вендоры",media,2026-03-01,2004,125000,0
"Генеративные ИИ-чатботы (ChatGPT, Gemini)",Инфраструктура ИИ,"Массово используемый продукт, мейнстрим с сотнями миллионов пользователей, зрелый рынок с лидерами OpenAI и Google",news,2026-03-01,2022,400000,0
Автономное вождение (Level 4-5),Индустриальный ИИ,"Многолетний хайп, миллиарды инвестиций, обещания прорыва с 2016 года, но массового внедрения нет",media,2026-03-01,2015,180000,0
Метавселенная (Metaverse),Инфраструктура ИИ,"Маркетинговый хайп, массовый вброс, затухающий тренд, крупные списания инвестиций",news,2026-03-01,2021,220000,0
NFT-маркетплейсы,Финтех,"Массовый хайп и спекулятивный пузырь 2021 года, обвал рынка",media,2026-03-01,2021,250000,0
Web3 и децентрализованные платформы,Финтех,"Хайповый тренд, вбросы, массовый маркетинг при незначительном реальном внедрении",news,2026-03-01,2021,160000,0
